,match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
132,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,2,2,V Kohli,W Jaffer,I Sharma,0,0,0,0,0,0,0,0,0,,,
133,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,2,3,V Kohli,W Jaffer,I Sharma,0,0,0,4,0,0,0,4,4,,,
134,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,2,4,V Kohli,W Jaffer,I Sharma,0,0,0,0,0,0,1,0,1,,,
137,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,3,1,V Kohli,W Jaffer,AB Dinda,0,0,0,0,0,0,0,0,0,,,
138,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,3,2,V Kohli,W Jaffer,AB Dinda,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
877,4,2,Royal Challengers Bangalore,Mumbai Indians,11,1,V Kohli,JH Kallis,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,
879,4,2,Royal Challengers Bangalore,Mumbai Indians,11,3,V Kohli,JH Kallis,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,,
880,4,2,Royal Challengers Bangalore,Mumbai Indians,11,4,V Kohli,JH Kallis,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,
884,4,2,Royal Challengers Bangalore,Mumbai Indians,12,2,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,4,0,4,,,
885,4,2,Royal Challengers Bangalore,Mumbai Indians,12,3,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,1,0,1,,,
887,4,2,Royal Challengers Bangalore,Mumbai Indians,12,5,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,6,0,6,,,
888,4,2,Royal Challengers Bangalore,Mumbai Indians,12,6,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,1,0,1,,,
889,4,2,Royal Challengers Bangalore,Mumbai Indians,13,1,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,0,0,0,,,
890,4,2,Royal Challengers Bangalore,Mumbai Indians,13,2,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,4,0,4,,,
891,4,2,Royal Challengers Bangalore,Mumbai Indians,13,3,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,4,0,4,,,
892,4,2,Royal Challengers Bangalore,Mumbai Indians,13,4,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,0,0,0,,,
893,4,2,Royal Challengers Bangalore,Mumbai Indians,13,5,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,1,0,1,,,
896,4,2,Royal Challengers Bangalore,Mumbai Indians,14,2,V Kohli,JH Kallis,A Nehra,0,1,0,0,0,0,0,1,1,,,
897,4,2,Royal Challengers Bangalore,Mumbai Indians,14,3,V Kohli,JH Kallis,A Nehra,0,0,0,0,0,0,0,0,0,,,
898,4,2,Royal Challengers Bangalore,Mumbai Indians,14,4,V Kohli,JH Kallis,A Nehra,0,0,0,0,0,0,0,0,0,V Kohli,caught,L Ronchi
2417,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,4,V Kohli,LRPL Taylor,SK Trivedi,0,0,0,0,0,0,2,0,2,,,
2418,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,5,V Kohli,LRPL Taylor,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2419,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,6,V Kohli,LRPL Taylor,SK Trivedi,0,1,0,0,0,0,0,1,1,,,
2420,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,7,V Kohli,LRPL Taylor,SK Trivedi,0,1,0,0,0,0,0,1,1,,,
2421,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,8,V Kohli,LRPL Taylor,SK Trivedi,0,0,0,0,0,0,1,0,1,,,
2422,11,1,Royal Challengers Bangalore,Rajasthan Royals,8,1,V Kohli,LRPL Taylor,MM Patel,0,0,0,0,0,0,1,0,1,,,
2424,11,1,Royal Challengers Bangalore,Rajasthan Royals,8,3,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,1,0,1,,,
2426,11,1,Royal Challengers Bangalore,Rajasthan Royals,8,5,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,1,0,1,,,
2428,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,1,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2429,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,2,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,1,0,1,,,
2431,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,4,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,6,0,6,,,
2432,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,5,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2433,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,6,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2435,11,1,Royal Challengers Bangalore,Rajasthan Royals,10,2,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,0,0,0,,,
2436,11,1,Royal Challengers Bangalore,Rajasthan Royals,10,3,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,0,0,0,,,
2437,11,1,Royal Challengers Bangalore,Rajasthan Royals,10,4,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,0,0,0,V Kohli,caught,M Rawat
3509,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,2,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,1,0,1,,,
3511,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,4,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,2,0,2,,,
3512,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,5,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,0,0,0,,,
3513,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,6,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,4,0,4,,,
3516,15,2,Royal Challengers Bangalore,Chennai Super Kings,17,3,V Kohli,R Dravid,MS Gony,0,0,0,0,0,0,1,0,1,,,
3519,15,2,Royal Challengers Bangalore,Chennai Super Kings,17,6,V Kohli,P Kumar,MS Gony,0,0,0,0,0,0,4,0,4,,,
3521,15,2,Royal Challengers Bangalore,Chennai Super Kings,18,2,V Kohli,P Kumar,JA Morkel,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
4018,17,2,Royal Challengers Bangalore,Delhi Daredevils,20,3,V Kohli,MV Boucher,V Sehwag,0,0,0,0,0,0,1,0,1,,,
